		sentence_1	sentence_2	marker
0	41838	Compassion for others had been drilled out of him .	Yet she breached the sanctity of all that training .	and
0	78135	Bring a vampire to class to tell his or her story .	You got great attendance .	and
4	57798	Kate had talked to him for less than ten minutes .	She knew that there was no way this man could be persuaded to do anything he did not want to do .	when
4	75686	Been glad to have him .	He realized grieg 's potential .	when
4	117953	To fight for her life .	Kendal is told to meet gp at the wharf when the moon is at the highest point in the night sky .	when
3	156543	They can still be shocked by such carnage .	Even they 're politicians .	if
0	76113	Frozen food had been located .	There was more than enough for this leg of the journey .	and
0	120079	Julian changed his course .	Turned into that direction .	and
0	113999	Just as udgd lowers his axe , he hears a loud crash .	Feels a strange sensation .	and
1	108782	To reaching her limit .	Quickly she was close .	because
3	771	She said to never return , michael said .	Even i wanted to go .	if
2	114061	Her efforts would be too late for her mother not for future residents , and .	That was why , perhaps a little naively , she was at the hospital pleading to be allowed to enter their portals to seek donations .	but
0	2832	We got into the first taxi , which arrived .	Helen took the front seat right next to the driver .	and
2	86426	When murdoch had seen nikolai earlier , he 'd been content .	He 'd still been pallid , still lean .	but
0	44205	They were running some training skirmishes when you called .	Had some things to clean up before they get back to the ship .	and
2	147217	I turned to amelia , hoping for some respite from this unfair admonishment .	She was allied with her aunt , her expression ashen and pale and she turned away from me and made her way with her head hung low into the drawing room .	but
0	147432	Jiskira said , pulling out what appeared to be a watch-like device and strapped it to his wrist .	Rummaged in a little compartment .	and
0	51692	A small sphere of blue fire exploded in the air over the bluff .	Was echoed by a second sphere over the other bluff .	and
0	19493	Aidan glanced over at isaacs right arm , still exposed from the fight with duncan .	Saw that his three seals hadnt changed .	and
2	100000	He had the option to shoot at lower velocity to be comparatively silent .	Experience had shown him that such shots could fail to have the same terminal effect that he got when he blew a ghouls skull completely apart , which even when successful had the added disadvantage that he splattered infectious blood and brain matter all over the work area .	but
4	138382	Just like the time i wore the red glittery platform shoes , ! '' .	I should 've worn blue .	when
4	159336	Something serious had to be wrong .	He began to doubt everything ink had told him .	when
3	79119	She could face her past .	Presley and aaron could continue to brave rehab .	if
2	63691	Emily reached for it .	Ali caught her and pulled her back with surprising strength .	but
0	94834	It only fair to them i should share the risk .	In the event , though i did not draw the lot , there was no avoiding it .	and
3	74809	To investigate and see .	We have an issue .	if
1	29551	You mad at me .	You thought i was stalking you .	because
0	159267	Watched this and captured their idiocy on tape .	Showed the professors , hey why should i work hard and get an a while these guys cheat .	and
2	23078	The other arrow missed striking anything solid .	Lodged in the folds of the vord queen 's cloak .	but
0	39575	Only twice had i gotten a flicker of a signal from a vampire brain .	It had been like a flash of electricity in an outage .	and
0	44057	Realizing what i had let slip , i got up from my chair .	Went over to the window to hide the fact that i was blushing .	and
2	48888	He was still rambling on .	It clearly does not interest me , when he starts naming them in latin .	but
3	47176	To intercept the goblet .	The nate at the school fails .	if
2	40241	There was a certain enchantment , a certain pain , even a certain emptiness to it .	She would not let such bewildering contradictions taint this glorious moment , for there was still much left to anticipate , beyond the destination itself .	but
4	80072	Another loss had occurred earlier that morning .	Lanma , bo , mo , and jo announced that they were leaving .	when
2	60723	To do and read .	Fish , cook , sleep , eat , f**k .	but
0	13803	I had studied it in detail for lectures .	Recalled immediately the tiara the empress was wearing in the painting .	and
2	69797	Moon found something in their blood .	He cant identify it .	but
0	139383	Both men were talking at the same time .	Njuguna was waving his arms in bold gestures .	and
0	51216	To protect you from him .	I had to pretend i had a headache so nobody would know that i was interfering .	and
0	97588	There was a faint rustling .	Then jocelyn could see lucien making his way up the stairs , closely followed by amadeus .	and
0	156066	I 've snapped submerged into the darkness where imaginary things walk , talk and are real to me , but no one .	Fallen off the cliff called reality .	and
3	53201	She 'd be lost .	He wrapped his incredible arms around her .	if
0	158377	He tapped a tile rather lightly with the hammer .	It not only shattered into pieces , it disintegrated into a fine white powder .	and
4	59776	Still lost in thought .	I heard a noise behind me .	when
2	55627	`` animal blood will sustain you . '' .	It will never satisfy you .	but
0	11658	The waters of the pool rippled .	Kalarus 's image , like gaius 's had , fell back into droplets of water that splashed back into the pool .	and
1	43903	He 'd relived that night to the department 's satisfaction , and because he wanted official closure on tony 's death .	Only he too had violated procedure by checking on max while on duty .	because
2	88097	My lungs burned for air .	My mouth and nose were filled with ice .	but
2	159072	She smiled and tilted her head in a gesture of polite greeting .	Received no response from an open-mouthed , glassy-eyed dean cook .	but
4	94800	A sob exploded out of katelyns throat .	Her mother reached her arm around her shoulder .	when
0	124401	Tim 's been stealing your work .	Passing it off as his own .	and
2	73459	The sudden increase in noise from the street below did not distract her .	Instead caused her to put her head closer to theirs in case they missed anything she had to say .	but
3	122093	She would at least be able to stop in and see nathan while she was .	She was gone from simon 's life .	if
